node_label	count0	count1	count2	topo0	topo1	topo2
QS165	233	424	316	((LOsartorii_P009_WG10_ANP,CYpercoriacea_P005_WB03_A),(LOvexans_P028_WF04_SP,LOgulielmi_treleasei_P009_WD06_A));	((LOsartorii_P009_WG10_ANP,LOvexans_P028_WF04_SP),(CYpercoriacea_P005_WB03_A,LOgulielmi_treleasei_P009_WD06_A));	((LOsartorii_P009_WG10_ANP,LOgulielmi_treleasei_P009_WD06_A),(LOvexans_P028_WF04_SP,CYpercoriacea_P005_WB03_A));
QS166	682	173	121	((LOvexans_P028_WF04_SP,PRpalmeri_P002_WC12_A),(LOpaxtalensis_P009_WG08_SNP,LOuxoris_P010_WE08_A));	((LOvexans_P028_WF04_SP,LOpaxtalensis_P009_WG08_SNP),(PRpalmeri_P002_WC12_A,LOuxoris_P010_WE08_A));	((LOvexans_P028_WF04_SP,LOuxoris_P010_WE08_A),(LOpaxtalensis_P009_WG08_SNP,PRpalmeri_P002_WC12_A));
QS167	473	162	329	((LOgulielmi_treleasei_P009_WD06_A,CYpachyloma_P005_WG08_A),(LOnixoniana_P011_WE11_A,LOsalicifolia_F001_WD01_A));	((LOgulielmi_treleasei_P009_WD06_A,LOnixoniana_P011_WE11_A),(CYpachyloma_P005_WG08_A,LOsalicifolia_F001_WD01_A));	((LOgulielmi_treleasei_P009_WD06_A,LOsalicifolia_F001_WD01_A),(LOnixoniana_P011_WE11_A,CYpachyloma_P005_WG08_A));
QS168	294	63	4	((LOnixoniana_P011_WE11_A,CYchungii_P010_WC03_A),(LOsalicifolia_F001_WD01_A,NNmulleri_P017_WA12_SNS));	((LOnixoniana_P011_WE11_A,LOsalicifolia_F001_WD01_A),(CYchungii_P010_WC03_A,NNmulleri_P017_WA12_SNS));	((LOnixoniana_P011_WE11_A,NNmulleri_P017_WA12_SNS),(LOsalicifolia_F001_WD01_A,CYchungii_P010_WC03_A));
QS169	94	0	86	((LOsalicifolia_F001_WD01_A,ILlongispica_P009_WC12_SNP),(LOpaxtalensis_P009_WG08_SNP,NNmulleri_P017_WA12_SNS));	((LOsalicifolia_F001_WD01_A,LOpaxtalensis_P009_WG08_SNP),(ILlongispica_P009_WC12_SNP,NNmulleri_P017_WA12_SNS));	((LOsalicifolia_F001_WD01_A,NNmulleri_P017_WA12_SNS),(LOpaxtalensis_P009_WG08_SNP,ILlongispica_P009_WC12_SNP));
QS170	143	544	264	((LOpaxtalensis_P009_WG08_SNP,CYdaimingshanensis_P003_WE02_A),(LOuxoris_P010_WE08_A,LOtonduzii_P017_WB02_ANP));	((LOpaxtalensis_P009_WG08_SNP,LOuxoris_P010_WE08_A),(CYdaimingshanensis_P003_WE02_A,LOtonduzii_P017_WB02_ANP));	((LOpaxtalensis_P009_WG08_SNP,LOtonduzii_P017_WB02_ANP),(LOuxoris_P010_WE08_A,CYdaimingshanensis_P003_WE02_A));
QS171	625	100	258	((LOuxoris_P010_WE08_A,LPcraibianus_P001_WB11),(LOhumboldtii_P004_WD04_A,LOgracilior_P011_WG09_A));	((LOuxoris_P010_WE08_A,LOhumboldtii_P004_WD04_A),(LPcraibianus_P001_WB11,LOgracilior_P011_WG09_A));	((LOuxoris_P010_WE08_A,LOgracilior_P011_WG09_A),(LOhumboldtii_P004_WD04_A,LPcraibianus_P001_WB11));
QS172	352	445	176	((LOgracilior_P011_WG09_A,QUpubescens_P011_WF08_A),(LOtonduzii_P017_WB02_ANP,LOduratifolia_P009_WG09_SS));	((LOgracilior_P011_WG09_A,LOtonduzii_P017_WB02_ANP),(QUpubescens_P011_WF08_A,LOduratifolia_P009_WG09_SS));	((LOgracilior_P011_WG09_A,LOduratifolia_P009_WG09_SS),(LOtonduzii_P017_WB02_ANP,QUpubescens_P011_WF08_A));
QS173	289	49	24	((LOhumboldtii_P004_WD04_A,LOmarilandica_trans_A),(LOtonduzii_P017_WB02_ANP,NNlowilliamsii_P017_WB01_SP));	((LOhumboldtii_P004_WD04_A,LOtonduzii_P017_WB02_ANP),(LOmarilandica_trans_A,NNlowilliamsii_P017_WB01_SP));	((LOhumboldtii_P004_WD04_A,NNlowilliamsii_P017_WB01_SP),(LOtonduzii_P017_WB02_ANP,LOmarilandica_trans_A));
QS174	143	221	1	((NNlowilliamsii_P017_WB01_SP,LOtrinitatis_P006_WH05_SP),(LOhumboldtii_P004_WD04_A,LOduratifolia_P009_WG09_SS));	((NNlowilliamsii_P017_WB01_SP,LOhumboldtii_P004_WD04_A),(LOtrinitatis_P006_WH05_SP,LOduratifolia_P009_WG09_SS));	((NNlowilliamsii_P017_WB01_SP,LOduratifolia_P009_WG09_SS),(LOhumboldtii_P004_WD04_A,LOtrinitatis_P006_WH05_SP));
