id,node_label,freq0,qc,qd,qi,qf,qdsig,diff,num_replicates,notes,qf_rank,sect
100,QS101,0.076765609,-0.23370222,0.618625277,0.977,NA,NA,1.137786,1000,,NA,QU
101,QS102,0.091093117,-0.306546688,0.40311804,0.988,NA,NA,10.374557,1000,,NA,QU
102,QS103,0.383301708,-0.35684459,0.024615385,0.95992714,NA,NA,27.162611,549,,NA,QU
103,QS104,0.944751381,0.770634222,1,0.989071038,NA,NA,76.031177,732,,NA,QU
104,QS105,0.161111111,-0.363038929,0,0.972972973,NA,NA,14.689598,185,,NA,QU
105,QS106,0.939597315,0.75565712,0.777777778,0.987845304,NA,NA,14.447313,905,,NA,QU
106,QS107,0.448834853,0.026762729,0.948529412,0.987,NA,NA,292.293787,1000,,NA,QU
107,QS108,0.804259635,0.439510279,0.621761658,0.986,NA,NA,911.148892,1000,,NA,QU
108,QS109,0.55624355,0.117955139,0.665116279,0.969,NA,NA,71.131169,1000,,NA,QU
109,QS110,0.962162162,0.767710621,0,1,NA,NA,89.31239,185,,NA,QU
110,QS111,0.524489796,0.211199103,0.240343348,0.98,NA,NA,79.856208,1000,,NA,QU
111,QS112,0.819672131,0.532938972,0.121212121,0.989189189,NA,NA,55.350221,185,,NA,QU
112,QS113,0.27693857,-0.414644469,0.027855153,0.993,NA,NA,24.410662,1000,,NA,QU
113,QS114,0.818090452,0.49543302,0.320441989,0.995,NA,NA,207.079952,1000,,NA,QU
114,QS115,1,1,NA,1,NA,NA,341.198537,1000,,NA,QU
115,QS116,0.165745856,-0.334577275,0.21192053,0.978378378,NA,NA,50.230351,185,,NA,QU
116,QS117,0.049395161,-0.698932552,0.063626723,0.992,NA,NA,243.867053,1000,,NA,QU
117,QS118,0.375255624,-0.257762754,0.134206219,0.978,NA,NA,2.235348,1000,,NA,QU
118,QS119,0.911854103,0.675288845,0.75862069,0.987,NA,NA,48.027046,1000,,NA,QU
119,QS120,1,1,NA,1,NA,NA,746.982683,368,,NA,QU
120,QS121,0.956521739,0.741981331,0,0.994594595,NA,NA,55.540316,185,,NA,QU
121,QS122,0.064615385,-0.310542359,0.484649123,0.975,NA,NA,108.176452,1000,,NA,QU
122,QS123,0.281186094,-0.014222395,0.839260313,0.978,NA,NA,67.689367,1000,,NA,QU
123,QS124,0.991825613,0.931568479,0,0.997282609,NA,NA,361.880247,368,,NA,QU
124,QS125,0.611111111,0.282318621,0.185714286,0.97826087,NA,NA,21.232588,368,,NA,QU
125,QS126,0.871097684,0.590981951,0.40625,0.993,NA,NA,88.625476,1000,,NA,QU
126,QS127,0.522727273,0.001490901,0,0.951351351,NA,NA,7.598442,185,,NA,QU
127,QS128,0.977,0.886806714,0.695652174,1,NA,NA,261.564817,1000,,NA,QU
128,QS129,0.488888889,-0.00035625,0,0.972972973,NA,NA,4.42206,185,,NA,QU
129,QS130,0.593202884,0.137372353,0.779746835,0.971,NA,NA,159.109617,1000,,NA,QU
130,QS131,0.978378378,0.894008654,0.5,1,NA,NA,154.526831,185,,NA,QU
131,QS132,1,1,NA,1,NA,NA,719.997428,1000,,NA,VI
132,QS133,0.916330645,0.714030279,0.192771084,0.992,NA,NA,25.570199,1000,,NA,PO
133,QS134,0.736736737,0.322560176,0.669201521,0.999,NA,NA,187.502826,1000,,NA,PR
134,QS135,0.398907104,-0.359472577,0.018181818,0.994565217,NA,NA,380.96802,368,,NA,PR
135,QS136,0.783783784,0.246802009,0,1,NA,NA,614.357697,185,,NA,PR
136,QS137,1,1,NA,1,NA,NA,1074.692116,1000,,NA,LO
137,QS138,0.78,0.489106207,0.072727273,1,NA,NA,584.647332,1000,,NA,LO
138,QS139,0.784708249,0.469295402,0.168224299,0.994,NA,NA,36.588822,1000,,NA,LO
139,QS140,0.793068298,0.428727535,0.512315271,0.981,NA,NA,117.313365,1000,,NA,LO
140,QS141,0.480730223,0.04582598,0.875,0.986,NA,NA,7.605809,1000,,NA,LO
141,QS142,0.387129724,-0.317296626,0.06,0.979,NA,NA,135.641068,1000,,NA,LO
142,QS143,0.087431694,-0.713128404,0.005988024,0.994565217,NA,NA,95.271293,368,,NA,LO
143,QS144,0.698863636,0.399050206,0.075471698,0.956521739,NA,NA,132.608496,368,,NA,LO
144,QS145,0.525406504,0.322049247,0.047109208,0.984,NA,NA,139.749849,1000,,NA,LO
145,QS146,0.021621622,-0.84954884,0,1,NA,NA,202.208885,185,,NA,LO
146,QS147,0.972891566,0.876285772,0.296296296,0.996,NA,NA,92.228177,1000,,NA,LO
147,QS148,0.467346939,0.07772846,0.586206897,0.98,NA,NA,71.9196,1000,,NA,LO
148,QS149,0.974874372,0.877480717,0.88,0.995,NA,NA,130.698026,1000,,NA,LO
149,QS150,0.095820591,-0.24346941,0.514092446,0.981,NA,NA,123.405906,1000,,NA,LO
150,QS151,0.623721881,0.188321551,0.597826087,0.978,NA,NA,152.379227,1000,,NA,LO
151,QS152,0.276180698,-0.014814233,0.845390071,0.974,NA,NA,71.112165,1000,,NA,LO
152,QS153,0.291752577,-0.008569027,0.876273654,0.97,NA,NA,20.597974,1000,,NA,LO
153,QS154,0.659114315,0.207297074,0.797583082,0.971,NA,NA,69.914711,1000,,NA,LO
154,QS155,0.774285714,0.377481444,0.759493671,0.951086957,NA,NA,53.754027,368,,NA,LO
155,QS156,0.353448276,-0.041824606,0.631111111,0.945652174,NA,NA,0.34814,368,,NA,LO
156,QS157,0.301455301,-0.002931097,0.949404762,0.962,NA,NA,5.037909,1000,,NA,LO
157,QS158,0.961852861,0.766268577,0,0.997282609,NA,NA,160.35542,368,,NA,LO
158,QS159,0.652661064,0.290604619,0.258064516,0.970108696,NA,NA,45.765813,368,,NA,LO
159,QS160,0.180041152,-0.054165889,0.95859473,0.972,NA,NA,64.206489,1000,,NA,LO
160,QS161,0.529290853,0.08479179,0.772925764,0.973,NA,NA,13.656264,1000,,NA,LO
161,QS162,0.513931889,0.134669728,0.445859873,0.969,NA,NA,75.175271,1000,,NA,LO
162,QS163,0.369444444,-0.289143535,0.0969163,0.97826087,NA,NA,36.263172,368,,NA,LO
163,QS164,0.964480874,0.778643932,0,0.994565217,NA,NA,113.922846,368,,NA,LO
164,QS165,0.23946557,-0.026502208,0.854054054,0.973,NA,NA,24.527116,1000,,NA,LO
165,QS166,0.698770492,0.257279153,0.823129252,0.976,NA,NA,64.734325,1000,,NA,LO
166,QS167,0.4906639,0.075232559,0.6598778,0.964,NA,NA,5.038466,1000,,NA,LO
167,QS168,0.814404432,0.525087534,0.119402985,0.980978261,NA,NA,71.73269,368,,NA,LO
168,QS169,0.522222222,0.001425353,0,0.972972973,NA,NA,12.312384,185,,NA,LO
169,QS170,0.150368034,-0.126007497,0.653465347,0.951,NA,NA,57.55782,1000,,NA,LO
170,QS171,0.635808749,0.20671828,0.558659218,0.983,NA,NA,12.956248,1000,,NA,LO
171,QS172,0.361767729,-0.057984444,0.566827697,0.973,NA,NA,55.775483,1000,,NA,LO
172,QS173,0.798342541,0.42618367,0.657534247,0.983695652,NA,NA,188.316625,368,,NA,LO
173,QS174,0.391780822,-0.37459883,0.009009009,0.991847826,NA,NA,123.435169,368,,NA,LO
174,QS175,0.730142566,0.369919318,0.279245283,0.982,NA,NA,14.410187,1000,,NA,LO
175,QS176,0.106508876,-0.129718968,0.927152318,0.913513514,NA,NA,34.635339,185,,NA,LO
176,QS177,0.742502585,0.400331366,0.21686747,0.967,NA,NA,178.930319,1000,,NA,LO
177,QS178,0.782564103,0.468094365,0.160377358,0.975,NA,NA,94.692089,1000,,NA,LO
178,QS179,0.906593407,0.658722005,0.941176471,0.983783784,NA,NA,97.982159,185,,NA,LO
179,QS180,0.289662231,-0.211753974,0.244956772,0.977,NA,NA,174.336338,1000,,NA,LO
180,QS181,0.155722326,-0.10928569,0.697777778,0.970856102,NA,NA,18.969781,549,,NA,LO
181,QS182,0.767955801,0.218442184,0,0.983695652,NA,NA,21.176623,368,,NA,LO
182,QS183,0.474860335,0.041605024,0.893617021,0.967567568,NA,NA,22.379357,185,,NA,LO
183,QS184,0.940763052,0.766887197,0.440677966,0.996,NA,NA,92.450611,1000,,NA,LO
184,QS185,1,1,NA,1,NA,NA,480.298675,1000,,NA,OT
185,QS186,1,1,NA,1,NA,NA,88.619064,185,,NA,OT
186,CEacutissima_trans_A,NA,NA,NA,NA,0.657668232,NA,NA,2556,,NA,CE
187,CEafares_P005_WC11_A,NA,NA,NA,NA,0.681985294,NA,NA,2720,,NA,CE
188,CEcastaneifolia_P002_WC06_A,NA,NA,NA,NA,0.684001445,NA,NA,2769,,NA,CE
189,CEcerris_trans_A,NA,NA,NA,NA,0.655061019,NA,NA,2786,,NA,CE
190,CEithaburensis_P002_WE12_A,NA,NA,NA,NA,0.775392502,NA,NA,3121,,NA,CE
191,CElibani_P004_WD10_A,NA,NA,NA,NA,0.709557686,NA,NA,3233,,NA,CE
192,CEsuber_ref,NA,NA,NA,NA,0.628624306,NA,NA,3242,,NA,CE
193,CEtrojana_P002_WF07_A,NA,NA,NA,NA,0.762436224,NA,NA,3136,,NA,CE
194,CEvariabilis_trans_A,NA,NA,NA,NA,0.677083333,NA,NA,2592,,NA,CE
195,CPcalathiformis_trans,NA,NA,NA,NA,0.859855335,NA,NA,3318,,NA,OT
196,CPdelavayi_trans,NA,NA,NA,NA,0.844404332,NA,NA,2770,,NA,OT
197,CPorthacantha_trans,NA,NA,NA,NA,0.839413448,NA,NA,2796,,NA,OT
198,CThenryi_trans,NA,NA,NA,NA,0.83006993,NA,NA,2860,,NA,OT
199,CTpumila_trans,NA,NA,NA,NA,0.863157895,NA,NA,3325,,NA,OT
200,CTsativa_trans,NA,NA,NA,NA,0.846264368,NA,NA,2784,,NA,OT
201,CYasymmetrica_P014_WG01_A,NA,NA,NA,NA,0.636859324,NA,NA,2751,,NA,CY
202,CYaugustinii_P010_WE11_A,NA,NA,NA,NA,0.820425944,NA,NA,2066,,NA,CY
203,CYaustrocochinchinensis_P001_WB05_A,NA,NA,NA,NA,0.79981378,NA,NA,2148,,NA,CY
204,CYchapensis_P010_WE04_A,NA,NA,NA,NA,0.552238806,NA,NA,3283,,NA,CY
205,CYchevalieri_P003_WE03_A,NA,NA,NA,NA,0.831445993,NA,NA,2296,,NA,CY
206,CYchrysotricha_P017_WB09_A,NA,NA,NA,NA,0.487593541,NA,NA,2539,,top10,CY
207,CYchungii_P010_WC03_A,NA,NA,NA,NA,0.77486535,NA,NA,2785,,NA,CY
208,CYdaimingshanensis_P003_WE02_A,NA,NA,NA,NA,0.555555556,NA,NA,3141,,NA,CY
209,CYdisciformis_P001_WH01_A,NA,NA,NA,NA,0.483451902,NA,NA,3233,,top10,CY
210,CYhondae_P005_WD07_A,NA,NA,NA,NA,0.611418048,NA,NA,2715,,NA,CY
211,CYhypargyrea_P010_WE06_ANP,NA,NA,NA,NA,0.705811863,NA,NA,3338,,NA,CY
212,CYhypophaea_P004_WF06_A,NA,NA,NA,NA,0.774478614,NA,NA,2829,,NA,CY
213,CYkinabaluensis_P002_WF02_A,NA,NA,NA,NA,0.569279493,NA,NA,2526,,NA,CY
214,CYkouangsiensis_P001_WE08_A,NA,NA,NA,NA,0.580733111,NA,NA,3301,,NA,CY
215,CYlobbii_P004_WD03_A,NA,NA,NA,NA,0.552795031,NA,NA,2737,,NA,CY
216,CYlonginux_F003_WC07_A,NA,NA,NA,NA,0.67472654,NA,NA,3474,,NA,CY
217,CYmeihuashanensis_P001_WE09_SNU,NA,NA,NA,NA,0.554310613,NA,NA,3213,,NA,CY
218,CYmerrillii_P005_WD01_A,NA,NA,NA,NA,0.643231114,NA,NA,2674,,NA,CY
